Goroka,AYGA
Wipim Airport,
Baimuru Airport
Nuku Airport
Tufi Airport
Suki Airport
Balimo Airport
Obo Airport
Losuia Airport
Londolovit Airport
Lake Murray Airport
Kamusi Airport
Kokoda Airport
Kandrian Airport
Jacquinot Bay Airport
Nissan Island Airport
Ihu Airport
Gasmata Island Airport
Tadji Airport,
Wrangell Airport,PAWG
Chevak Airport,PAVA
Aniak Airport,PANI
Mountain Village Airport,PAMO
McGrath Airport,PAMC
Kalskag Airport,PALG
Haines Airport,PAHN
Holy Cross Airport,PAHC
Skagway Airport,PAGY
Gustavus Airport,PAGS
Adak Airport,PADK
Sambu Airport,
Contadora Airport,
EL Real Airport,
Bahia Pi??a Airport,
Sayun International Airport,OYSY
Kamishly Airport,OSKL
Sulaymaniyah International Airport,ORSU
Turbat International Airport,OPTU
Sehwan Sharif Airport,OPSN
Skardu Airport,OPSD
Parachinar Airport,OPPC
Ormara Airport,OPOR
Khuzdar Airport,OPKH
Hyderabad Airport,OPKD
Jiwani Airport,OPJI
Dera Ismael Khan Airport,OPDI
Dera Ghazi Khan Airport,OPDG
Dalbandin Airport,OPDB
Chitral Airport,OPCH
Bahawalpur Airport,OPBW
Bannu Airport,OPBN
Al Ain International Airport,OMAL
Uromiyeh Airport,OITR
Ardabil Airport,OITL
Lar Airport,OISL
Sari Dasht E Naz Airport,OINZ
Noshahr Airport,OINN
Sabzevar National Airport,OIMS
Bojnourd Airport,OIMN
Rafsanjan Airport,OIKR
Bam Airport,OIKM
Khoram Abad Airport,OICK
Wadi Al Dawasir Airport,OEWD
Al-Jawf Domestic Airport,OESK
Dawadmi Domestic Airport,OEDW
Saul Airport,SOOS
Faizabad Airport,OAFZ
?Äle des Pins Airport,NWWE
Belep Islands Airport Airport,NWWC
Tiga Airport,NWWA
Ipota Airport,NVVI
Futuna Airport,NVVF
Dillon's Bay Airport,NVVD
Aniwa Airport,NVVB
Anelghowhat Airport,NVVA
North West Santo Airport,NVSZ
Southwest Bay Airport,NVSX
Valesdir Airport,NVSV
Ul?®i Airport,NVSU
Tongoa Island Airport,NVST
Santo Pekoa International Airport,NVSS
Redcliffe Airport,NVSR
Gaua Island Airport,NVSQ
Norsup Airport,NVSP
Lonorore Airport,NVSO
Naone Airport,NVSN
Lamen Bay Airport,NVSM
Lamap Airport,NVSL
Tavie Airport,NVSI
Sara Airport,NVSH
Longana Airport,NVSG
Craig Cove Airport,NVSF
Sangafa Airport,NVSE
Torres Airstrip,NVSD
Sola Airport,NVSC
Mota Lava Airport,NVSA
Ua Huka Airport,NTMU
Ua Pou Airport,NTMP
Hiva Oa-Atuona Airport,NTMN
Ahe Airport,NTHE
Apataki Airport,NTGD
Maota Airport,NSMA
Mountain Airport,
Pointe Vele Airport,NLWF
Niue International Airport,NIUE
Vanua Balavu Airport,NFVB
Kuini Lavenia Airport,NFTP
Mata'aho Airport,NFTO
Lifuka Island Airport,NFTL
Kaufana Airport,NFTE
Savusavu Airport,NFNS
Rotuma Airport,NFNR
Koro Island Airport,NFNO
Matei Airport,NFNM
Labasa Airport,NFNL
Lakeba Island Airport,NFNK
Ngau Airport,NFNG
Moala Airport,NFMO
Mana Island Airport,NFMA
Vunisea Airport,NFKD
Malolo Lailai Island Airport,NFFO
Cicia Airport,NFCI
Penrhyn Island Airport,NCPY
Mitiaro Island Airport,NCMR
Mauke Airport,NCMK
Manihiki Island Airport,NCMH
Mangaia Island Airport,NCMG
Atiu Island Airport,NCAT
Nassau Paradise Island Airport,MYPI
Colonel Hill Airport,MYCI
New Bight Airport,MYCB
Arthurs Town Airport,MYCA
Congo Town Airport,MYAK
Long Banga Airport,
Salina Cruz Naval Air Station,MM57
Alberto Delgado Airport,MUTD
Cayo Coco Airport,MUOC
Port-de-Paix Airport,MTPX
Jeremie Airport,MTJE
Playa Samara Airport,MRSR
Tobias Bolanos International Airport,MRPV
Puerto Jimenez Airport,MRPJ
Islita Airport,MRIA
Cabo Velas Airport,MRCV
Barra del Colorado Airport,MRBC
Aerotortuguero Airport,MRAO
Captain Ramon Xatruch Airport,MPLP
Jaqu?® Airport,MPJE
Enrique Adolfo Jimenez Airport,MPEJ
Alonso Valderrama Airport,MPCE
Lencero Airport,MMJA
Guerrero Negro Airport,MMGR
Ciudad Constituci??n Airport,MMDA
Captain Rogelio Castillo National Airport,MMCY
Mili Island Airport,MLIP
Puerto Lempira Airport,MHPL
Ahuas Airport,MHAH
Wotho Island Airport,
Wotje Atoll Airport,N36
Woja Airport,
Jaluit Airport,N55
Rongelap Island Airport,
Namorik Atoll Airport,3N0
Majkin Airport,
Mejit Atoll Airport,Q30
Maloelap Island Airport,
Likiep Airport,
Kaben Airport,
Jeh Airport,
Jabot Airport,
Enyu Airfield,
Aur Island Airport,
Ailuk Airport,
Utirik Airport,03N
Quezaltenango Airport,MGQZ
Puerto Barrios Airport,MGPB
Dr Joaquin Balaguer International Airport,MDJB
Saman?í El Catey International Airport,MDCY
Salt Cay Airport,MBSY
Middle Caicos Airport,MBMC
JAGS McCartney International Airport,MBGT
?¢ilina Airport,LZZI
Ubari Airport,
Misratah Airport,
Samsun-?çar?ƒamba Airport,LTFH
Balikesir Korfez Airport,LTFD
Isparta S??leyman Demirel Airport,LTFC
Adiyaman Airport,LTCP
Agri Airport,LTCO
Kahramanmaras Airport,LTCN
Sanliurfa Airport,LTCH
Kars Airport,LTCF
Usak Airport,LTBO
Banja Luka International Airport,LQBK
Corvo Airport,LPCR
Salerno Pontecagnano Airport,LIRI
Aosta Airport,LIMW
S?írmell?®k International Airport,LHSM
Gy?ær-P?®r International Airport,LHPR
P?®cs-Pog?íny Airport,LHPP
Syros Airport,LGSO
La M??le Airport,LFTZ
EuroAirport,\N
Tekapo,NZTL
Angers-Loire Airport,LFJR
?Äle d'Yeu Airport,LFEY
Logro??o-Agoncillo Airport,LELO
Ercan International Airport,LCEN
Yakima Air Terminal McAllister Field,KYKM
Kiwayu (Mkononi) Airport,
Worland Municipal Airport,KWRL
Valdosta Regional Airport,KVLD
Victoria Regional Airport,KVCT
Quincy Regional Baldwin Field,KUIN
Tupelo Regional Airport,KTUP
Santa Maria Pub Cpt G Allan Hancock Airport,KSMX
Salina Municipal Airport,KSLN
Adirondack Regional Airport,KSLK
Sheridan County Airport,KSHR
San Luis County Regional Airport,KSBP
Rutland State Airport,KRUT
Rock Springs Sweetwater County Airport,KRKS
Rhinelander Oneida County Airport,KRHI
Reading Regional Carl A Spaatz Field,KRDG
Pease International Tradeport,KPSM
Pellston Regional Airport of Emmet County Airport,KPLN
Pierre Regional Airport,KPIR
Pocatello Regional Airport,KPIH
Hattiesburg Laurel Regional Airport,KPIB
Owensboro Daviess County Airport,KOWB
Southwest Oregon Regional Airport,KOTH
Northwest Alabama Regional Airport,KMSL
Frank Wiley Field,KMLS
Muskegon County Airport,KMKG
Lynchburg Regional Preston Glenn Field,KLYH
Lewistown Municipal Airport,KLWT
Lancaster Airport,KLNS
Klamath Falls Airport,KLMT
Lebanon Municipal Airport,KLEB
North Platte Regional Airport Lee Bird Field,KLBF
Arnold Palmer Regional Airport,KLBE
Laramie Regional Airport,KLAR
Jamestown Regional Airport,KJMS
Kirksville Regional Airport,KIRK
Kili Airport,Q51
Tri State Milton J Ferguson Field,KHTS
Memorial Field,KHOT
Central Nebraska Regional Airport,KGRI
Wokal Field Glasgow International Airport,KGGW
Fayetteville Regional Grannis Field,KFAY
New Bedford Regional Airport,KEWB
Elko Regional Airport,KEKO
Chippewa Valley Regional Airport,KEAU
DuBois Regional Airport,KDUJ
Dodge City Regional Airport,KDDC
Houghton County Memorial Airport,KCMX
William R Fairchild International Airport,KCLM
Harrison Marion Regional Airport,KCKB
Chippewa County International Airport,KCIU
Cape Girardeau Regional Airport,KCGI
Del Norte County Airport,KCEC
Southeast Iowa Regional Airport,KBRL
Brunswick Golden Isles Airport,KBQK
Raleigh County Memorial Airport,KBKW
Western Nebraska Regional Airport,KBFF
Bradford Regional Airport,KBFD
Watertown Regional Airport,KATY
Alpena County Regional Airport,KAPN
Walla Walla Regional Airport,KALW
Waterloo Regional Airport,KALO
Alamogordo White Sands Regional Airport,KALM
Athens Ben Epps Airport,KAHN
Southwest Georgia Regional Airport,KABY
Aberdeen Regional Airport,KABR
San Domino Island Heliport,
Gheshm Airport,
Diu Airport,VA1P
Gulu Airport,HUGU
Arua Airport,HUAR
Tabora Airport,HTTB
Shinyanga Airport,HTSY
Musoma Airport,HTMU
Kikwetu Airport,HTLI
Kigoma Airport,HTKA
Bukoba Airport,HTBU
Port Sudan New International Airport,HSPN
Nyala Airport,HSNN
Atbara Airport,HSAT
La Abraq Airport,HLLQ
Mitiga Airport,HLLM
Gamal Abdel Nasser Airport,HLGN
Gardabya Airport,HLGD
Nanyuki Civil Airport,HKNY
Malindi Airport,HKML
Lokichoggio Airport,HKLK
Amboseli Airport,HKAM
Asyut International Airport,HEAT
El Arish International Airport,HEAR
Burao Airport,HCMV
Galcaio Airport,HCMR
Aden Adde International Airport,HCMM
Bosaso Airport,HCMF
Alula Airport,HCMA
Tippi Airport,HATP
Mizan Teferi Airport,HAMT
Kabri Dehar Airport,HAKD
Gore Airport,HAGR
Gode Airport,HAGO
Dembidollo Airport,HADD
Combolcha Airport,HADC
Beica Airport,HABE
Baco Airport,HABC
Sao Filipe Airport,GVSF
Praia International Airport,GVNP
El Aroui Airport,GMMW
Hassan I Airport,GMML
Mogador Airport,GMMI
Dakhla Airport,GMMH
Smara Airport,GMMA
Iginniarfik Heliport,
Akunnaaq Heliport,
Groennedal Heliport,
Osvaldo Vieira International Airport,GGOV
Kenema Airport,GFKE
Bo Airport,GFBO
Sherbro International Airport,GFBN
Ceuta Heliport,GECT
Lauriston Airport,
La Gomera Airport,GCGM
Papa Stour Airport,
Outer Skerries Airport,
Foula Airport,
Gamba,
Ilebo Airport,FZVS
Lodja Airport,FZVA
Tshikapa Airport,FZUK
Basankusu Airport,FZEN
Basango Mboliasa Airport,FZBT
Nioki Airport,FZBI
Inongo Airport,FZBA
Tshimpi Airport,FZAM
Boma Airport,FZAJ
Eros Airport,FYWE
Swakopmund Airport,FYSM
Oranjemund Airport,FYOG
Ondangwa Airport,FYOA
Luderitz Airport,FYLZ
Club Makokola Airport,FWCM
Sarh Airport,FTTA
Croisette Heliport,
Chimoio Airport,FQCH
Tchibanga Airport,FOOT
Mouilla Ville Airport,FOGM
Koulamoutou Airport,FOGK
Namibe Airport,FNMO
Ondjiva Pereira Airport,FNGI
Dundo Airport,FNDU
Catumbela Airport,FNCT
Manja Airport,FMSJ
Mandritsara Airport,FMNX
Tsaratanana Airport,FMNT
Mampikony Airport,FMNP
Soalala Airport,FMNO
Ambanja Airport,FMNJ
Port Berg?® Airport,FMNG
Ambatondrazaka Airport,FMMZ
Tsiroanomandidy Airport,FMMX
Tambohorano Airport,FMMU
Morafenobe Airport,FMMR
Maintirano Airport,FMMO
Belo sur Tsiribihina Airport,FMML
Ankavandra Airport,FMMK
Antsalova Airport,FMMG
Iconi Airport,FMCN
Solwesi Airport,FLSW
Chipata Airport,FLCP
Loubomo Airport,FCPL
Limpopo Valley Airport,FBTL
Shakawe Airport,FBSW
Orapa Airport,FBOR
Ghanzi Airport,FBGZ
Mmabatho International Airport,FAMM
Malamala Airport,FAMD
Kruger Mpumalanga International Airport,FAKN
Rand Airport,FAGM
Ventspils International Airport,EVVA
Shire Inda Selassie Airport,
Shilavo Airport,
Hemavan Airport,ESUT
Storuman Airport,ESUD
?ängelholm-Helsingborg Airport,ESTA
Torsby Airport,ESST
Karlstad Airport,ESOK
Hagfors Airport,ESOH
?ûstersund Airport,ESNZ
?ü??d?? W?éadys?éaw Reymont Airport,EPLL
Bydgoszcz Ignacy Jan Paderewski Airport,EPBY
V?ªr?©y Heliport,ENVR
Svartnes Airport,ENSS
Sorkjosen Airport,ENSR
Svolv?ªr Helle Airport,ENSH
Sogndal Airport,ENSG
Anda Airport,ENSD
R?©st Airport,ENRS
Ryum Airport,ENRM
R?©ssvoll Airport,ENRA
Namsos H?©knes?©ra Airport,ENNM
Leknes Airport,ENLK
Sindal Airport,EKSN
Weston Airport,EIWT
Donegal Airport,EIDL
Raron Airport,LSTA
Barra Airport,EGPR
Anglesey Airport,EGOV
Penzance Heliport,EGHK
Land's End / St. Just Airport,EGHC
Westray Airport,EGEW
Lerwick / Tingwall Airport,EGET
Sanday Airport,EGES
Stronsay Airport,EGER
Papa Westray Airport,EGEP
North Ronaldsay Airport,EGEN
Fair Isle Airport,EGEF
Eday Airport,EGED
Campbeltown Airport,EGEC
Robin Hood Doncaster Sheffield Airport,EGCN
Nottingham Airport,EGBN
Sein?ñjoki Airport,EFSI
Helgoland-D??ne Airport,EDXH
Heide-B??sum Airport,EDXB
Heringsdorf Airport,EDAH
Kumasi Airport,DGSI
Guemar Airport,DAUO
Bordj Badji Mokhtar Airport,DATM
B?®char Boudghene Ben Ali Lotfi Airport,DAOR
Batna Airport,DABT
Wollaston Lake Airport,CZWL
Churchill Falls Airport,CZUM
Shamattawa Airport,CZTM
Sandy Lake Airport,CZSJ
Round Lake (Weagamow Lake) Airport,CZRJ
Sachigo Lake Airport,CZPB
Masset Airport,CZMT
Muskrat Dam Airport,CZMD
Kashechewan Airport,CZKE
Swan River Airport,CZJN
Gods River Airport,CZGI
Fond-Du-Lac Airport,CZFD
Eastmain River Airport,CZEM
Bathurst Airport,CZBF
Ilford Airport,CZBD
York Landing Airport,CZAC
Salluit Airport,CYZG
Whale Cove Airport,CYXN
Webequie Airport,CYWP
Deer Lake Airport,CYVZ
Big Trout Lake Airport,CYTL
St. Theresa Point Airport,CYST
Sanikiluaq Airport,CYSK
Stony Rapids Airport,CYSF
Red Lake Airport,CYRL
Rae Lakes Airport,CYRA
Nakina Airport,CYQN
The Pas Airport,CYQD
Powell River Airport,CYPW
Peawanuck Airport,CYPO
Pikangikum Airport,CYPM
Inukjuak Airport,CYPH
Oxford House Airport,CYOH
Points North Landing Airport,CYNL
Norway House Airport,CYNE
Wemindji Airport,CYNC
Umiujaq Airport,CYMU
Chapais Airport,CYMT
Mary's Harbour Airport,CYMH
Kangiqsualujjuaq (Georges River) Airport,CYLU
Lutselk'e Airport,CYLK
Lansdowne House Airport,CYLH
Kimmirut Airport,CYLC
Aupaluk Airport,CYLA
Waskaganish Airport,CYKQ
Akulivik Airport,CYKO
Island Lake Airport,CYIV
Ivujivik Airport,CYIK
Chevery Airport,CYHR
Hopedale Airport,CYHO
Nemiscau Airport,CYHH
Vancouver Harbour Water Airport,CYHC
Quaqtaq Airport,CYHA
Grise Fiord Airport,CYGZ
Gillam Airport,CYGX
Kuujjuarapik Airport,CYGW
Igloolik Airport,CYGT
Gods Lake Narrows Airport,CYGO
Texada Gillies Bay Airport,CYGB
Makkovik Airport,CYFT
Fort Hope Airport,CYFH
Fort Albany Airport,CYFA
Fort Severn Airport,CYER
Nain Airport,CYDP
Chesterfield Inlet Airport,CYCS
Cartwright Airport,CYCA
Lourdes De Blanc Sablon Airport,CYBX
Uranium City Airport,CYBE
Lac Du Bonnet Airport,CYAX
Attawapiskat Airport,CYAT
Kangirsuk Airport,CYAS
Kasabonika Airport,CYAQ
Fort Frances Municipal Airport,CYAG
Cat Lake Airport,CYAC
Tarapac?í Airport,
Apartad?? Airport,
Nantong Airport,
La Tabati?¿re Airport,CTU5
T?¬te-?á-la-Baleine Airport,CTB6
Chisasibi Airport,CSU2
Poplar Hill Airport,CPV7
Ogoki Post Airport,CNT3
Kingfisher Lake Airport,CNM5
Bearskin Lake Airport,CNE3
North Spirit Lake Airport,CKQ3
Wunnumin Lake Airport,CKL3
Wapekeka Airport,CKB6
Summer Beaver Airport,CJV7
What?¼ Airport,CEM3
Colville Lake Airport,CEB3
Rigolet Airport,CCZ2
Port Hope Simpson Airport,CCP4
St. Lewis (Fox Harbour) Airport,CCK4
Williams Harbour Airport,CCA6
Anahim Lake Airport,CAJ4
Whistler/Green Lake Water Aerodrome,CAE5
Punta Gorda Airport,
Caye Caulker Airport,
Vopnafj?Âr??ur Airport,BIVO
Thorshofn Airport,BITN
Drake Bay Airport,MRDK
Gr?¡msey Airport,BIGR
Qaarsut Airport,BGUQ
Upernavik Airport,BGUK
Sisimiut Airport,BGSS
Qaanaaq Airport,BGQQ
Narsaq Heliport,BGNS
Nanortalik Heliport,BGNN
Maniitsoq Airport,BGMQ
Qaqortoq Heliport,BGJH
Qeqertarsuaq Heliport,BGGN
Paamiut Heliport,BGFH
Neerlerit Inaat Airport,BGCO
Alluitsup Paa Heliport,BGAP
Wapenamanda Airport,AYWD
Vanimo Airport,AYVN
Tokua Airport,AYTK
Tabubil Airport,AYTB
Tari Airport,AYTA
Misima Island Airport,AYMS
Moro Airport,AYMR
Momote Airport,AYMO
Mendi Airport,AYMN
Kavieng Airport,AYKV
Kerema Airport,AYKM
Kikori Airport,AYKK
Kiunga Airport,AYKI
Kimbe Airport,AYHK
Girua Airport,AYGR
Gurney Airport,AYGN
Daru Airport,AYDU
Chimbu Airport,AYCH
Buka Airport,AYBK
Ramata Airport,AGRM
Kagau Island Airport,AGKG
Suavanao Airport,AGGV
Marau Airport,AGGU
Rennell/Tingoa Airport,AGGR
Mono Airport,AGGO
Nusatupe Airport,AGGN
Munda Airport,AGGM
Santa Cruz/Graciosa Bay/Luova Airport,AGGL
Ngorangora Airport,AGGK
Babanakira Airport,AGGI
Fera/Maringe Airport,AGGF
Ballalae Airport,AGGE
Auki Airport,AGGA
Uru Harbour Airport,AGAT
Komsomolsk-on-Amur Airport,UHKK
Moyo Airport,
Tiksi Airport,UEST
Cherskiy Airport,UESS
Chokurdakh Airport,UESO
Chulman Airport,UELL
Kostanay West Airport,UAUU
Zhezkazgan Airport,UAKD
Kokshetau Airport,UACK
Union Island International Airport,TVSU
J F Mitchell Airport,TVSB
Virgin Gorda Airport,TUPW
Vance Winkworth Amory International Airport,TKPN
Baillif Airport,TFFB
La D?®sirade Airport,TFFA
Juan Pablo P?®rez Alfonso Airport,SVVG
El Jaguel / Punta del Este Airport,SUPE
Santa Rosa Airport,SSZR
Alferez Fap David Figueroa Fernandini Airport,SPNC
Caballococha Airport,SPBC
Capit?ín Av. German Quiroga G. Airport,SLSB
Capit?ín Av. Selin Zeitun Lopez Airport,SLRI
Capit?ín de Av. Emilio Beltr?ín Airport,SLGY
Obando Airport,SKPD
Reyes Murillo Airport,SKNQ
La Pedrera Airport,SKLP
Caucaya Airport,SKLG
La Jagua Airport,SKGZ
Santa Ana Airport,SKGO
Stanley Airport,SFAL
Camilo Ponce Enriquez Airport,SETM
San Crist??bal Airport,SEST
Sorocaba Airport,SDCO
Ricardo Garc?¡a Posada Airport,SCES
Vit??ria da Conquista Airport,SBQV
Mar?¡lia Airport,SBML
Maca?® Airport,SBME
Necochea Airport,SAZO
Lago Argentino Airport,SAWA
Roxas Airport,RPVR
Calbayog Airport,RPVC
Virac Airport,RPUV
Tuguegarao Airport,RPUT
San Fernando Airport,RPUS
Basco Airport,RPUO
Naga Airport,RPUN
Tandag Airport,RPMW
Surigao Airport,RPMS
Fremont Airport,\N
Sanga Sanga Airport,RPMN
General Santos International Airport,RPMB
Subic Bay International Airport,RPLB
Yangyang International Airport,RKNY
Ugolny Airport,UHMA
Okhotsk Airport,UHOO
Ujae Atoll Airport,UJAP
Mariupol International Airport,UKCM
Luhansk International Airport,UKCW
Zaporizhzhia International Airport,UKDE
Lozuvatka International Airport,UKDR
Osnova International Airport,UKHH
Ivano Frankivsk International Airport,UKLI
Chernivtsi International Airport,UKLN
Rivne International Airport,UKLR
Uzhhorod International Airport,UKLU
Solovki Airport,ULAS
Cherepovets Airport,ULBC
Amderma Airport,ULDD
Kotlas Airport,ULKK
Petrozavodsk Airport,ULPB
Hrodno Airport,UMMG
Mogilev Airport,UMOO
Yeniseysk Airport,UNII
Kyzyl Airport,UNKY
Spichenkovo Airport,UNWW
Khatanga Airport,UOHH
Igarka Airport,UOII
Grozny Airport,URMG
Nalchik Airport,URMN
Beslan Airport,URMO
Elista Airport,URWI
Aleknagik Airport,5A8
Brookings Regional Airport,BKX
Mercer County Airport,BLF
Kearney Municipal Airport,EAR
Mid Delta Regional Airport,GLH
Laughlin Bullhead International Airport,IFP
Kingman Airport,IGM
Tri Cities Airport,PSC
Akutan Seaplane Base,KQA
Grant County Airport,SVC
Lopez Island Airport,S31
Salekhard Airport,USDD
Khanty Mansiysk Airport,USHH
Nyagan Airport,USHN
Sovetsky Tyumenskaya Airport,USHS
Izhevsk Airport,USII
Pobedilovo Airport,USKK
Nadym Airport,USMM
Raduzhny Airport,USNR
Nefteyugansk Airport,USRN
Kurgan Airport,USUU
Khudzhand Airport,UTDL
Andizhan Airport,UTKA
Fergana Airport,UTKF
Namangan Airport,UTKN
Nukus Airport,UTNN
Urgench Airport,UTNU
Karshi Khanabad Airport,UTSL
Termez Airport,UTST
Staroselye Airport,UUBK
Belgorod International Airport,UUOB
Kursk East Airport,UUOK
Lipetsk Airport,UUOL
Vorkuta Airport,UUYW
Bugulma Airport,UWKB
Yoshkar-Ola Airport,UWKJ
Cheboksary Airport,UWKS
Ulyanovsk East Airport,UWLW
Orsk Airport,UWOR
Penza Airport,UWPP
Saransk Airport,UWPS
Balakovo Airport,UWSB
Hubli Airport,VAHB
Koggala Airport,VCCK
Wirawila Airport,VCCW
Battambang Airport,VDBG
Shillong Airport,VEBI
Lokpriya Gopinath Bordoloi International Airport,VEGT
Dimapur Airport,VEMR
Tezpur Airport,VETZ
Barisal Airport,VGBR
Ban Huoeisay Airport,VLHS
Kontum Airport,
Bharatpur Airport,VNBP
Chandragadhi Airport,VNCG
Meghauli Airport,VNMG
Nepalgunj Airport,VNNG
Gan Island Airport,VRMG
Hanimaadhoo Airport,VRMH
Kadhdhoo Airport,VRMK
Mae Sot Airport,VTPM
Buon Ma Thuot Airport,VVBM
Cat Bi International Airport,VVCI
Cam Ranh Airport,VVCR
Co Ong Airport,VVCS
Tr?á N??c Airport,VVCT
Dien Bien Phu Airport,VVDB
Phu Cat Airport,VVPC
Pleiku Airport,VVPK
Vinh Airport,VVVH
Banmaw Airport,VYBM
Dawei Airport,VYDW
Kawthoung Airport,VYKT
Loikaw Airport,VYLK
Mawlamyine Airport,VYMM
Pathein Airport,VYPN
Pakhokku Airport,VYPU
Sumbawa Besar Airport,WADS
Tambolaka Airport,WADT
Bokondini Airport,WAJB
Senggeh Airport,WAJS
Tanjung Harapan Airport,WALG
Datadawai Airport,WALJ
Barau(Kalimaru) Airport,WALK
Warukin Airport,WAON
Sampit(Hasan) Airport,WAOS
Dumatumbun Airport,WAPL
Mali Airport,WATM
Belaga Airport,WBGC
Long Lellang Airport,WBGF
Long Seridan Airport,WBGI
Mukah Airport,WBGK
Bakalalan Airport,WBGQ
Lawas Airport,WBGW
Bario Airport,WBGZ
Tomanggong Airport,WBKM
Kudat Airport,WBKT
Radin Inten II (Branti) Airport,WICT
Halim Perdanakusuma International Airport,WIHH
Ranai Airport,WION
Pangsuma Airport,WIOP
Susilo Airport,WIOS
Pendopo Airport,WIPQ
Malikus Saleh Airport,WITM
Pulau Pangkor Airport,WMPA
Stagen Airport,WRBK
Long Bawan Airport,WRLB
Nunukan Airport,WRLF
Long Apung Airport,WRLP
Albany Airport,YABA
Argyle Airport,YARG
Aurukun Airport,YAUR
Barcaldine Airport,YBAR
Badu Island Airport,YBAU
Birdsville Airport,YBDV
Broken Hill Airport,YBHI
Hamilton Island Airport,YBHM
Bedourie Airport,YBIE
Bourke Airport,YBKE
Burketown Airport,YBKT
Boigu Airport,YBOI
Oakey Airport,YBOK
Boulia Airport,YBOU
Bathurst Airport,YBTH
Blackwater Airport,YBTR
Carnarvon Airport,YCAR
Cobar Airport,YCBA
Coober Pedy Airport,YCBP
Coconut Island Airport,YCCT
Cloncurry Airport,YCCY
Ceduna Airport,YCDU
Cooktown Airport,YCKN
Cunnamulla Airport,YCMU
Coonamble Airport,YCNM
Coen Airport,YCOE
Cooma Snowy Mountains Airport,YCOM
Doomadgee Airport,YDMG
Darnley Island Airport,YDNI
Devonport Airport,YDPO
Elcho Island Airport,YELD
Esperance Airport,YESP
Flinders Island Airport,YFLI
Geraldton Airport,YGEL
Gladstone Airport,YGLA
Groote Eylandt Airport,YGTE
Griffith Airport,YGTH
Horn Island Airport,YHID
Hooker Creek Airport,YHOO
Mount Hotham Airport,YHOT
Hughenden Airport,YHUG
Julia Creek Airport,YJLC
Kalbarri Airport,YKBR
King Island Airport,YKII
Kalkgurung Airport,YKKG
Karumba Airport,YKMB
Kowanyama Airport,YKOW
Kubin Airport,YKUB
Leonora Airport,YLEO
Lake Evella Airport,YLEV
Lord Howe Island Airport,YLHI
Lockhart River Airport,YLHR
Lismore Airport,YLIS
Lightning Ridge Airport,YLRD
Longreach Airport,YLRE
Leinster Airport,YLST
Laverton Airport,YLTN
Mabuiag Island Airport,YMAA
Meekatharra Airport,YMEK
Merimbula Airport,YMER
Milingimbi Airport,YMGB
Maningrida Airport,YMGD
McArthur River Mine Airport,YMHU
Mildura Airport,YMIA
Mount Magnet Airport,YMOG
Moree Airport,YMOR
Moranbah Airport,YMRB
Moruya Airport,YMRY
Mount Gambier Airport,YMTG
Mornington Island Airport,YMTI
Murray Island Airport,YMUI
Maryborough Airport,YMYB
Narrandera Airport,YNAR
Narrabri Airport,YNBR
Normanton Airport,YNTN
Newman Airport,YNWN
Olympic Dam Airport,YOLD
Port Augusta Airport,YPAG
Palm Island Airport,YPAM
Paraburdoo Airport,YPBO
Cocos Keeling Island Airport,YPCC
Gove Airport,YPGV
Parkes Airport,YPKS
Port Lincoln Airport,YPLC
Pormpuraaw Airport,YPMP
Port Macquarie Airport,YPMQ
Portland Airport,YPOD
Quilpie Airport,YQLP
Ramingining Airport,YRNG
Roma Airport,YROM
St George Airport,YSGE
Shark Bay Airport,YSHK
Saibai Island Airport,YSII
Strahan Airport,YSRN
Thargomindah Airport,YTGM
Tennant Creek Airport,YTNK
Victoria River Downs Airport,YVRD
Warraber Island Airport,YWBS
Windorah Airport,YWDH
Whyalla Airport,YWHA
Wiluna Airport,YWLU
Wollongong Airport,YWOL
Winton Airport,YWTN
Wynyard Airport,YWYY
Yorke Island Airport,YYKI
Yam Island Airport,YYMI
Beijing Nanyuan Airport,ZBBB
Chifeng Airport,ZBCF
Changzhi Airport,ZBCZ
Datong Airport,ZBDT
Baita Airport,ZBHH
Baotou Airport,ZBOW
Shijiazhuang Daguocun International Airport,ZBSJ
Tongliao Airport,ZBTL
Ulanhot Airport,ZBUL
Xilinhot Airport,ZBXH
Beihai Airport,ZGBH
Changde Airport,ZGCD
Dayong Airport,ZGDY
Meixian Airport,ZGMX
Zhuhai Airport,ZGSD
Bailian Airport,ZGZH
Zhanjiang Airport,ZGZJ
Enshi Airport,ZHES
Nanyang Airport,ZHNY
Xiangfan Airport,ZHXF
Yichang Airport,ZHYC
Ankang Airport,ZLAK
Golmud Airport,ZLGM
Hanzhong Airport,ZLHZ
Qingyang Airport,ZLQY
Xining Caojiabu Airport,ZLXN
Yan'an Airport,ZLYA
Yulin Airport,ZLYL
Arvaikheer Airport,ZMAH
Altai Airport,ZMAT
Bayankhongor Airport,ZMBH
Dalanzadgad Airport,ZMDZ
Khovd Airport,ZMKD
Muren Airport,ZMMN
Diqing Airport,ZPDQ
Mangshi Airport,ZPLX
Simao Airport,ZPSM
Zhaotong Airport,ZPZT
Ganzhou Airport,ZSGZ
Jingdezhen Airport,ZSJD
Jiujiang Lushan Airport,ZSJJ
Quzhou Airport,ZSJU
Lianyungang Airport,ZSLG
Huangyan Luqiao Airport,ZSLQ
Shubuling Airport,ZSLY
Quanzhou Airport,ZSQZ
Tunxi International Airport,ZSTX
Weifang Airport,ZSWF
